Metal,Substrate,theta,Temp,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled
Sn,Al2O3,123,1373,139,1.96,10,0,141,406.268,3.2
Sn0.96Al0.04,Al2O3,114,1373,138.28,1.946,9.6,0,144.36,406.268,3.2
Sn0.875Al0.125,Al2O3,66,1373,136.75,1.91625,8.75,0,151.5,406.268,3.2
Sn0.86Al0.14,Al2O3,73,1373,136.48,1.911,8.6,0,152.76,406.268,3.2
Sn0.4Al0.6,Al2O3,71,1373,128.2,1.75,4,0,191.4,406.268,3.2
Sn0.1Al0.9,Al2O3,79,1373,122.8,1.645,1,0,216.6,406.268,3.2
Al,Al2O3,73,1273,121,1.61,0,0,225,406.268,3.2
Sn,Al2O3,123,1273,139,1.96,10,0,141,406.268,3.2
Sn0.9Al0.1,Al2O3,109,1273,137.2,1.925,9,0,149.4,406.268,3.2
Sn0.85Al0.15,Al2O3,71,1273,136.3,1.9075,8.5,0,153.6,406.268,3.2
Sn0.7Al0.3,Al2O3,66,1273,133.6,1.855,7,0,166.2,406.268,3.2
Sn0.4Al0.6,Al2O3,67,1273,128.2,1.75,4,0,191.4,406.268,3.2
Sn0.1Al0.9,Al2O3,70,1273,122.8,1.645,1,0,216.6,406.268,3.2
Al,Al2O3,81,1373,121,1.61,0,0,225,406.268,3.2
Cu,Al2O3,138,1350,132,1.9,10,0,225,406.268,3.2
Cu0.905Ti0.095,Al2O3,30,1350,134.66,1.8658,9.24,2.14E-06,222.055,406.268,3.2
Cu0.874Ti0.126,Al2O3,20,1350,135.528,1.85464,8.992,2.84E-06,221.094,406.268,3.2
Cu0.874Ti0.126,Al2O3,38,1350,135.528,1.85464,8.992,2.84E-06,221.094,406.268,3.2
Ni0.5Pd0.5,Al2O3,113,1523,131.5,2.055,9,0.29769735,225,406.268,3.2
Ni0.475Pd0.475Ti0.05,Al2O3,97,1523,132.925,2.02925,8.65,0.282813609,223.45,406.268,3.2
Ni0.425Pd0.425Ti0.15,Al2O3,70,1523,135.775,1.97775,7.95,0.253046128,220.35,406.268,3.2
Ni0.375Pd0.375Ti0.25,Al2O3,50,1523,138.625,1.92625,7.25,0.223278646,217.25,406.268,3.2
Al,Al2O3,103,1173,121,1.61,0,0,225,406.268,3.2
Al,Si1O2,150,973,121,1.61,0,0,225,598.8666667,2.666666667
Al,Si1O2,98,1073,121,1.61,0,0,225,598.8666667,2.666666667
Al,Si1O2,68,1173,121,1.61,0,0,225,598.8666667,2.666666667
Al,Ca1O1,100,1173,121,1.61,0,0,225,584.9,1
Ag,Al2O3,130,1373,145,1.93,10,0,225,406.268,3.2
Al,Al2O3,82,1150,121,1.61,0,0,225,406.268,3.2
Au,Al2O3,140,1373,136,2.54,10,0,225,406.268,3.2
Au,Al2O3,131,1365,136,2.54,10,0,225,406.268,3.2
Cu,Al2O3,128,1423,132,1.9,10,0,225,406.268,3.2
Fe,Al2O3,109,1853,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Al2O3,130,1873,132,1.83,6,2.1106628,229,406.268,3.2
Ga,Al2O3,118,1173,122,1.81,10,0,64,406.268,3.2
In,Al2O3,124,429,142,1.78,10,0,139,406.268,3.2
Ni,Al2O3,109,1773,124,1.91,8,0.5953947,225,406.268,3.2
Ni,Al2O3,123,1873,124,1.91,8,0.5953947,225,406.268,3.2
Pb,Al2O3,117,1173,146,2.33,10,0,225,406.268,3.2
Pb,Al2O3,132,1173,146,2.33,10,0,225,406.268,3.2
Sb,Al2O3,102,998,139,2.05,10,0,166,406.268,3.2
Si,Al2O3,80,1723,111,1.9,0,0,227,406.268,3.2
Sn,Al2O3,125,1373,139,1.96,10,0,141,406.268,3.2
Al0.98Ca0.02,Ca1O1,92,1173,122.1,1.5978,0,0,225,584.9,1
Al0.9Mg0.1,Mg1O1,102,1173,123,1.58,0,0,221.9,488.9,1
Cu,Al2O3,120,1523,132,1.9,10,0,225,406.268,3.2
Cu0.975O0.025,Al2O3,30,1523,130.35,1.9385,9.75,0,219.675,406.268,3.2
Cu0.9Ti0.1,Ti1O1,30,1423,134.8,1.864,9.2,2.25E-06,221.9,997.9,1
Cu,Al2O3,128,1373,132,1.9,10,0,225,406.268,3.2
Cu0.975Ti0.025,Al2O3,75,1373,132.7,1.891,9.8,5.63E-07,224.225,406.268,3.2
Cu0.95Ti0.05,Al2O3,44,1373,133.4,1.882,9.6,1.13E-06,223.45,406.268,3.2
Cu0.925Ti0.075,Al2O3,31,1373,134.1,1.873,9.4,1.69E-06,222.675,406.268,3.2
Cu0.9Ti0.1,Al2O3,27,1373,134.8,1.864,9.2,2.25E-06,221.9,406.268,3.2
Cu0.875Ti0.125,Al2O3,21,1373,135.5,1.855,9,2.82E-06,221.125,406.268,3.2
Cu0.75Ti0.25,Al2O3,33,1273,139,1.81,8,5.63E-06,217.25,406.268,3.2
Cu0.75Ti0.25,Al2O3,16,1373,139,1.81,8,5.63E-06,217.25,406.268,3.2
Cu0.75Ti0.25,Al2O3,10,1473,139,1.81,8,5.63E-06,217.25,406.268,3.2
Cu0.75Ti0.25,Al2O3,12,1573,139,1.81,8,5.63E-06,217.25,406.268,3.2
Al,Si1O2,87.5,1073,121,1.61,0,0,225,598.8666667,2.666666667
Al0.92Mg0.08,Si1O2,76.5,1073,122.6,1.586,0,0,222.52,598.8666667,2.666666667
Al0.8Mg0.2,Si1O2,50,1073,125,1.55,0,0,218.8,598.8666667,2.666666667
Al0.57Mg0.43,Si1O2,18,1073,129.6,1.481,0,0,211.67,598.8666667,2.666666667
Al0.31Mg0.69,Si1O2,6.5,1073,134.8,1.403,0,0,203.61,598.8666667,2.666666667
Mg,Si1O2,4,1073,141,1.31,0,0,194,598.8666667,2.666666667
Al0.57Mg0.43,Si1O2,15,1023,129.6,1.481,0,0,211.67,598.8666667,2.666666667
Al0.57Mg0.43,Si1O2,32,1123,129.6,1.481,0,0,211.67,598.8666667,2.666666667
Au,Al2O3,137.5,1423,136,2.54,10,0,225,406.268,3.2
Au0.99Ti0.01,Al2O3,97.22222222,1423,136.24,2.53,9.92,2.25E-07,224.69,406.268,3.2
Au0.98Ti0.02,Al2O3,85.83333333,1423,136.48,2.52,9.84,4.51E-07,224.38,406.268,3.2
Au0.97Ti0.03,Al2O3,78.33333333,1423,136.72,2.51,9.76,6.76E-07,224.07,406.268,3.2
Au0.94Ti0.06,Al2O3,69.16666667,1423,137.44,2.48,9.52,1.35E-06,223.14,406.268,3.2
Au0.92Ti0.08,Al2O3,68.05555556,1423,137.92,2.46,9.36,1.80E-06,222.52,406.268,3.2
Ga,Al2O3,125.2777778,1323,122,1.81,10,0,64,406.268,3.2
Ga0.996Ti0.004,Al2O3,74.27631579,1323,122.152,1.80892,9.968,9.01E-08,64.52,406.268,3.2
Ga0.992Ti0.008,Al2O3,72.71929825,1323,122.304,1.80784,9.936,1.80E-07,65.04,406.268,3.2
Ga0.991Ti0.009,Al2O3,69.41520468,1323,122.342,1.80757,9.928,2.03E-07,65.17,406.268,3.2
Ga0.99Ti0.01,Al2O3,65.55555556,1323,122.38,1.8073,9.92,2.25E-07,65.3,406.268,3.2
Ga0.978Ti0.022,Al2O3,63.10672515,1323,122.836,1.80406,9.824,4.96E-07,66.86,406.268,3.2
Ga0.962Ti0.038,Al2O3,56.33040936,1323,123.444,1.79974,9.696,8.56E-07,68.94,406.268,3.2
Ga0.957Ti0.043,Al2O3,64.80263158,1323,123.634,1.79839,9.656,9.69E-07,69.59,406.268,3.2
Ga0.938Ti0.062,Al2O3,56.99561404,1323,124.356,1.79326,9.504,1.40E-06,72.06,406.268,3.2
Ga0.92Ti0.08,Al2O3,64.16666667,1323,125.04,1.7884,9.36,1.80E-06,74.4,406.268,3.2
Cu0.99Ti0.01,Mg1O1,95,1423,132.28,1.8964,9.92,2.25E-07,224.69,488.9,1
Cu0.98Ti0.02,Mg1O1,61.9371345,1423,132.56,1.8928,9.84,4.51E-07,224.38,488.9,1
Cu0.97Ti0.03,Mg1O1,44.44444444,1423,132.84,1.8892,9.76,6.76E-07,224.07,488.9,1
Cu0.96Ti0.04,Mg1O1,37.5,1423,133.12,1.8856,9.68,9.01E-07,223.76,488.9,1
Cu0.94Ti0.06,Mg1O1,28.05555556,1423,133.68,1.8784,9.52,1.35E-06,223.14,488.9,1
Cu,Al2O3,128.5964912,1423,132,1.9,10,0,225,406.268,3.2
Cu0.99Ti0.01,Al2O3,88.88888889,1423,132.28,1.8964,9.92,2.25E-07,224.69,406.268,3.2
Cu0.98Ti0.02,Al2O3,51.38157895,1423,132.56,1.8928,9.84,4.51E-07,224.38,406.268,3.2
Cu0.96Ti0.04,Al2O3,33.05555556,1423,133.12,1.8856,9.68,9.01E-07,223.76,406.268,3.2
Cu0.94Ti0.06,Al2O3,23.61111111,1423,133.68,1.8784,9.52,1.35E-06,223.14,406.268,3.2
Cu0.92Ti0.08,Al2O3,16.9371345,1423,134.24,1.8712,9.36,1.80E-06,222.52,406.268,3.2
Sn,Si1O2,128.0555556,1273,139,1.96,10,0,141,598.8666667,2.666666667
Sn0.99Ti0.01,Si1O2,48.33333333,1273,139.21,1.9558,9.92,2.25E-07,141.53,598.8666667,2.666666667
Sn0.98Ti0.02,Si1O2,31.38157895,1273,139.42,1.9516,9.84,4.51E-07,142.06,598.8666667,2.666666667
Sn0.97Ti0.03,Si1O2,19.44444444,1273,139.63,1.9474,9.76,6.76E-07,142.59,598.8666667,2.666666667
Sn0.96Ti0.04,Si1O2,13.05555556,1273,139.84,1.9432,9.68,9.01E-07,143.12,598.8666667,2.666666667
Sn0.94Ti0.06,Si1O2,6.381578947,1273,140.26,1.9348,9.52,1.35E-06,144.18,598.8666667,2.666666667
Sn,Al2O3,128.0555556,1173,139,1.96,10,0,141,406.268,3.2
Sn0.995Sc0.005,Al2O3,70.97222222,1173,139.155,1.957,9.955,3.18E-08,141.265,406.268,3.2
Sn0.994Sc0.006,Al2O3,54.88304094,1173,139.186,1.9564,9.946,3.81E-08,141.318,406.268,3.2
Sn0.993Sc0.007,Al2O3,49.91959064,1173,139.217,1.9558,9.937,4.45E-08,141.371,406.268,3.2
Sn0.992Sc0.008,Al2O3,46.05263158,1173,139.248,1.9552,9.928,5.08E-08,141.424,406.268,3.2
Sn0.982Sc0.018,Al2O3,35.78216374,1173,139.558,1.9492,9.838,1.14E-07,141.954,406.268,3.2
Sn0.981Sc0.019,Al2O3,35.24853801,1173,139.589,1.9486,9.829,1.21E-07,142.007,406.268,3.2
In,Al2O3,129.1666667,973,142,1.78,10,0,139,406.268,3.2
In0.992Sc0.008,Al2O3,19.39327485,973,142.224,1.77664,9.928,5.08E-08,139.44,406.268,3.2
In0.986Sc0.014,Al2O3,12.8874269,973,142.392,1.77412,9.874,8.89E-08,139.77,406.268,3.2
In0.984Sc0.016,Al2O3,11.27923977,973,142.448,1.77328,9.856,1.02E-07,139.88,406.268,3.2
In0.979Sc0.021,Al2O3,11.41812865,973,142.588,1.77118,9.811,1.33E-07,140.155,406.268,3.2
In0.973Sc0.027,Al2O3,10.46783626,973,142.756,1.76866,9.757,1.71E-07,140.485,406.268,3.2
In0.952Sc0.048,Al2O3,11.05263158,973,143.344,1.75984,9.568,3.05E-07,141.64,406.268,3.2
Cu,Al2O3,161.4309743,1423,132,1.9,10,0,225,406.268,3.2
Ag0.72Cu0.28,Ca1F2,125.4935955,1423,141.36,1.9216,10,0,225,407.3333333,0.666666667
Bi,U1O2,163.1698797,1073,148,2.02,10,0,12,505.8666667,1.333333333
Sn,Al2O3,133,973,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,127,1073,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,127,1173,139,1.96,10,0,141,406.268,3.2
Sn,Al2O3,127,1273,139,1.96,10,0,141,406.268,3.2
Sn0.98Ti0.02,Al2O3,92,973,139.42,1.9516,9.84,4.51E-07,142.06,406.268,3.2
Sn0.98Ti0.02,Al2O3,78,1073,139.42,1.9516,9.84,4.51E-07,142.06,406.268,3.2
Sn0.98Ti0.02,Al2O3,77,1173,139.42,1.9516,9.84,4.51E-07,142.06,406.268,3.2
Sn0.98Ti0.02,Al2O3,77,1273,139.42,1.9516,9.84,4.51E-07,142.06,406.268,3.2
Sn0.95Ti0.05,Al2O3,83,973,140.05,1.939,9.6,1.13E-06,143.65,406.268,3.2
Sn0.95Ti0.05,Al2O3,59,1073,140.05,1.939,9.6,1.13E-06,143.65,406.268,3.2
Sn0.95Ti0.05,Al2O3,50,1173,140.05,1.939,9.6,1.13E-06,143.65,406.268,3.2
Sn0.95Ti0.05,Al2O3,49,1273,140.05,1.939,9.6,1.13E-06,143.65,406.268,3.2
Al,Ti1O2,148,973,121,1.61,0,0,225,683.5333333,1.333333333
Al,Ti1O2,127,1073,121,1.61,0,0,225,683.5333333,1.333333333
Al,Ti1O2,91,1173,121,1.61,0,0,225,683.5333333,1.333333333
Al,Ti1O2,85,1273,121,1.61,0,0,225,683.5333333,1.333333333
Fe,Al2O3,132,1823,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Al2O3,133,1838,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Al2O3,134,1848,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Al2O3,134,1858,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Al2O3,132,1873,132,1.83,6,2.1106628,229,406.268,3.2
Fe,Al2O3,115,1823,132,1.83,6,2.1106628,229,406.268,3.2
Fe0.84Cr0.16,Al2O3,155,1823,133.12,1.8028,5.84,1.772956752,229,406.268,3.2
Fe0.84Cr0.16,Al2O3,148,1823,133.12,1.8028,5.84,1.772956752,229,406.268,3.2
Fe0.68Cr0.32,Al2O3,147,1823,134.24,1.7756,5.68,1.435250704,229,406.268,3.2
Fe0.68Cr0.32,Al2O3,143,1823,134.24,1.7756,5.68,1.435250704,229,406.268,3.2
Fe0.68Cr0.32,Al2O3,140,1823,134.24,1.7756,5.68,1.435250704,229,406.268,3.2
Fe,Al2O3,119,1823,132,1.83,6,2.1106628,229,406.268,3.2
Fe0.88Cr0.12,Al2O3,118,1823,132.84,1.8096,5.88,1.857383264,229,406.268,3.2
Fe0.83Cr0.17,Al2O3,117,1823,133.19,1.8011,5.83,1.751850124,229,406.268,3.2
Fe0.8Cr0.2,Al2O3,110,1823,133.4,1.796,5.8,1.68853024,229,406.268,3.2
Fe0.78Cr0.22,Al2O3,114,1823,133.54,1.7926,5.78,1.646316984,229,406.268,3.2
Fe0.88Cr0.12,Mg1O1,102,1823,132.84,1.8096,5.88,1.857383264,229,488.9,1
Fe0.83Cr0.17,Mg1O1,114,1823,133.19,1.8011,5.83,1.751850124,229,488.9,1
Fe0.8Cr0.2,Mg1O1,102,1823,133.4,1.796,5.8,1.68853024,229,488.9,1
Fe0.78Cr0.22,Mg1O1,102,1823,133.54,1.7926,5.78,1.646316984,229,488.9,1
Ag,Al2O3,121,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,118,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,110,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,99,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,94,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,90,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,91,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,85,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,79,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,129,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,120,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,112,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,86,1373,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,130,1381,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,110,1381,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,96,1381,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,92,1381,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,86,1381,145,1.93,10,0,225,406.268,3.2
Ag,Al2O3,82.5,1381,145,1.93,10,0,225,406.268,3.2
Cu,Y2O3,145,1423,132,1.9,10,0,225,752.48,1.2
Ag,Y2O3,141,1423,145,1.93,10,0,225,752.48,1.2
Au,Y2O3,134,1423,136,2.54,10,0,225,752.48,1.2
Sn,Y2O3,84,1423,139,1.96,10,0,141,752.48,1.2
Ge,Y2O3,47,1423,120,2.01,10,0,225,752.48,1.2
Cu,Gd2O3,129,1423,132,1.9,10,0,225,667.28,1.2
Ag,Gd2O3,128,1423,145,1.93,10,0,225,667.28,1.2
Au,Gd2O3,127,1423,136,2.54,10,0,225,667.28,1.2
Sn,Gd2O3,81,1423,139,1.96,10,0,141,667.28,1.2
Ge,Gd2O3,43,1423,120,2.01,10,0,225,667.28,1.2
Cu,Tb2O3,148,1423,132,1.9,10,0,225,684.48,1.2
Ag,Tb2O3,137,1423,145,1.93,10,0,225,684.48,1.2
Au,Tb2O3,130,1423,136,2.54,10,0,225,684.48,1.2
Sn,Tb2O3,75,1423,139,1.96,10,0,141,684.48,1.2
Ge,Tb2O3,41,1423,120,2.01,10,0,225,684.48,1.2
Cu,Dy2O3,147,1423,132,1.9,10,0,225,706.88,1.2
Ag,Dy2O3,137,1423,145,1.93,10,0,225,706.88,1.2
Au,Dy2O3,132,1423,136,2.54,10,0,225,706.88,1.2
Sn,Dy2O3,85,1423,139,1.96,10,0,141,706.88,1.2
Ge,Dy2O3,46,1423,120,2.01,10,0,225,706.88,1.2
Cu,Ho2O3,149,1423,132,1.9,10,0,225,731.68,1.2
Ag,Ho2O3,145,1423,145,1.93,10,0,225,731.68,1.2
Au,Ho2O3,144,1423,136,2.54,10,0,225,731.68,1.2
Sn,Ho2O3,96,1423,139,1.96,10,0,141,731.68,1.2
Ge,Ho2O3,57,1423,120,2.01,10,0,225,731.68,1.2
Cu,Er2O3,152,1423,132,1.9,10,0,225,740.88,1.2
Ag,Er2O3,145,1423,145,1.93,10,0,225,740.88,1.2
Au,Er2O3,140,1423,136,2.54,10,0,225,740.88,1.2
Sn,Er2O3,88,1423,139,1.96,10,0,141,740.88,1.2
Ge,Er2O3,53,1423,120,2.01,10,0,225,740.88,1.2
Cu,Tm2O3,148,1423,132,1.9,10,0,225,760.08,1.2
Ag,Tm2O3,144,1423,145,1.93,10,0,225,760.08,1.2
Au,Tm2O3,127,1423,136,2.54,10,0,225,760.08,1.2
Sn,Tm2O3,81,1423,139,1.96,10,0,141,760.08,1.2
Ge,Tm2O3,46,1423,120,2.01,10,0,225,760.08,1.2
Cu,Yb2O3,125,1423,132,1.9,10,0,225,469.68,1.2
Ag,Yb2O3,116,1423,145,1.93,10,0,225,469.68,1.2
Au,Yb2O3,113,1423,136,2.54,10,0,225,469.68,1.2
Sn,Yb2O3,81,1423,139,1.96,10,0,141,469.68,1.2
Ge,Yb2O3,51,1423,120,2.01,10,0,225,469.68,1.2
Cu,Lu2O3,149,1423,132,1.9,10,0,225,807.28,1.2
Ag,Lu2O3,147,1423,145,1.93,10,0,225,807.28,1.2
Au,Lu2O3,140,1423,136,2.54,10,0,225,807.28,1.2
Sn,Lu2O3,92,1423,139,1.96,10,0,141,807.28,1.2
Ge,Lu2O3,81,1423,120,2.01,10,0,225,807.28,1.2
Cu,Al2O3,134,1423,132,1.9,10,0,225,406.268,3.2
Ag,Al2O3,130,1423,145,1.93,10,0,225,406.268,3.2
Au,Al2O3,126,1423,136,2.54,10,0,225,406.268,3.2
Sn,Al2O3,124,1423,139,1.96,10,0,141,406.268,3.2
Ge,Al2O3,110,1423,120,2.01,10,0,225,406.268,3.2
Ag0.96Ti0.04,Y2O3,71,1423,145.6,1.9144,9.68,9.01E-07,223.76,752.48,1.2
Ag0.96Ti0.04,Er2O3,71,1423,145.6,1.9144,9.68,9.01E-07,223.76,740.88,1.2
Ag0.96Ti0.04,Al2O3,67,1423,145.6,1.9144,9.68,9.01E-07,223.76,406.268,3.2
Au0.92Ti0.08,Y2O3,65,1423,137.92,2.46,9.36,1.80E-06,222.52,752.48,1.2
Au0.92Ti0.08,Cd2O3,59,1423,137.92,2.46,9.36,1.80E-06,222.52,270.568,1.2
Au0.92Ti0.08,Er2O3,67,1423,137.92,2.46,9.36,1.80E-06,222.52,740.88,1.2
Au0.92Ti0.08,Tm2O3,67,1423,137.92,2.46,9.36,1.80E-06,222.52,760.08,1.2
Au0.92Ti0.08,Yb2O3,54,1423,137.92,2.46,9.36,1.80E-06,222.52,469.68,1.2
Au0.92Ti0.08,Lu2O3,63,1423,137.92,2.46,9.36,1.80E-06,222.52,807.28,1.2
Au0.92Ti0.08,Al2O3,62,1423,137.92,2.46,9.36,1.80E-06,222.52,406.268,3.2
Cu0.43Ti0.57,Y2O3,57,1423,147.96,1.6948,5.44,1.28E-05,207.33,752.48,1.2
Cu0.43Ti0.57,Cd2O3,49,1423,147.96,1.6948,5.44,1.28E-05,207.33,270.568,1.2
Cu0.43Ti0.57,Tb2O3,53,1423,147.96,1.6948,5.44,1.28E-05,207.33,684.48,1.2
Cu0.43Ti0.57,Dy2O3,60,1423,147.96,1.6948,5.44,1.28E-05,207.33,706.88,1.2
Cu0.43Ti0.57,Ho2O3,48,1423,147.96,1.6948,5.44,1.28E-05,207.33,731.68,1.2
Cu0.43Ti0.57,Er2O3,59,1423,147.96,1.6948,5.44,1.28E-05,207.33,740.88,1.2
Cu0.43Ti0.57,Tm2O3,58,1423,147.96,1.6948,5.44,1.28E-05,207.33,760.08,1.2
Cu0.43Ti0.57,Yb2O3,29,1423,147.96,1.6948,5.44,1.28E-05,207.33,469.68,1.2
Cu0.43Ti0.57,Lu2O3,60,1423,147.96,1.6948,5.44,1.28E-05,207.33,807.28,1.2
Cu0.43Ti0.57,Al2O3,2,1423,147.96,1.6948,5.44,1.28E-05,207.33,406.268,3.2
Sn0.96Ti0.04,Y2O3,31,1423,139.84,1.9432,9.68,9.01E-07,143.12,752.48,1.2
Sn0.96Ti0.04,Cd2O3,29,1423,139.84,1.9432,9.68,9.01E-07,143.12,270.568,1.2
Sn0.96Ti0.04,Dy2O3,32,1423,139.84,1.9432,9.68,9.01E-07,143.12,706.88,1.2
Sn0.96Ti0.04,Ho2O3,32,1423,139.84,1.9432,9.68,9.01E-07,143.12,731.68,1.2
Sn0.96Ti0.04,Er2O3,35,1423,139.84,1.9432,9.68,9.01E-07,143.12,740.88,1.2
Sn0.96Ti0.04,Tm2O3,31,1423,139.84,1.9432,9.68,9.01E-07,143.12,760.08,1.2
Sn0.96Ti0.04,Yb2O3,25,1423,139.84,1.9432,9.68,9.01E-07,143.12,469.68,1.2
Sn0.96Ti0.04,Lu2O3,41,1423,139.84,1.9432,9.68,9.01E-07,143.12,807.28,1.2
Sn0.96Ti0.04,Al2O3,59,1423,139.84,1.9432,9.68,9.01E-07,143.12,406.268,3.2
Ge0.95Ti0.05,Y2O3,24,1423,122,1.9865,9.6,1.13E-06,223.45,752.48,1.2
Ge0.95Ti0.05,Cd2O3,22,1423,122,1.9865,9.6,1.13E-06,223.45,270.568,1.2
Ge0.95Ti0.05,Tb2O3,27,1423,122,1.9865,9.6,1.13E-06,223.45,684.48,1.2
Ge0.95Ti0.05,Dy2O3,28,1423,122,1.9865,9.6,1.13E-06,223.45,706.88,1.2
Ge0.95Ti0.05,Ho2O3,29,1423,122,1.9865,9.6,1.13E-06,223.45,731.68,1.2
Ge0.95Ti0.05,Er2O3,32,1423,122,1.9865,9.6,1.13E-06,223.45,740.88,1.2
Ge0.95Ti0.05,Tm2O3,27,1423,122,1.9865,9.6,1.13E-06,223.45,760.08,1.2
Ge0.95Ti0.05,Yb2O3,22,1423,122,1.9865,9.6,1.13E-06,223.45,469.68,1.2
Ge0.95Ti0.05,Lu2O3,24,1423,122,1.9865,9.6,1.13E-06,223.45,807.28,1.2
Ge0.95Ti0.05,Al2O3,39,1423,122,1.9865,9.6,1.13E-06,223.45,406.268,3.2
Cu,Al2O3,129.122807,1423,132,1.9,10,0,225,406.268,3.2
Cu0.992Ti0.008,Al2O3,87.36842105,1423,132.224,1.89712,9.936,1.80E-07,224.752,406.268,3.2
Cu0.979Ti0.021,Al2O3,68.42105263,1423,132.588,1.89244,9.832,4.73E-07,224.349,406.268,3.2
Cu0.974Ti0.026,Al2O3,49.12280702,1423,132.728,1.89064,9.792,5.86E-07,224.194,406.268,3.2
Cu0.95Ti0.05,Al2O3,20.35087719,1423,133.4,1.882,9.6,1.13E-06,223.45,406.268,3.2
Cu0.941Ti0.059,Al2O3,9.473684211,1423,133.652,1.87876,9.528,1.33E-06,223.171,406.268,3.2
Cu0.924Ti0.076,Al2O3,3.50877193,1423,134.128,1.87264,9.392,1.71E-06,222.644,406.268,3.2
Cu0.898Ti0.102,Al2O3,2.807017544,1423,134.856,1.86328,9.184,2.30E-06,221.838,406.268,3.2
Cu,Y2O3,141.0526316,1423,132,1.9,10,0,225,752.48,1.2
Cu0.954Ti0.046,Y2O3,112.6315789,1423,133.288,1.88344,9.632,1.04E-06,223.574,752.48,1.2
Cu0.897Ti0.103,Y2O3,80.70175439,1423,134.884,1.86292,9.176,2.32E-06,221.807,752.48,1.2
Cu0.826Ti0.174,Y2O3,71.57894737,1423,136.872,1.83736,8.608,3.92E-06,219.606,752.48,1.2
Cu0.748Ti0.252,Y2O3,61.05263158,1423,139.056,1.80928,7.984,5.68E-06,217.188,752.48,1.2
Cu0.631Ti0.369,Y2O3,55.78947368,1423,142.332,1.76716,7.048,8.31E-06,213.561,752.48,1.2
Cu0.566Ti0.434,Y2O3,55.78947368,1423,144.152,1.74376,6.528,9.78E-06,211.546,752.48,1.2
Cu0.511Ti0.489,Y2O3,55.0877193,1423,145.692,1.72396,6.088,1.10E-05,209.841,752.48,1.2
Cu0.406Ti0.594,Y2O3,54.38596491,1423,148.632,1.68616,5.248,1.34E-05,206.586,752.48,1.2
Cu,Er2O3,144.5614035,1423,132,1.9,10,0,225,740.88,1.2
Cu0.963Ti0.037,Er2O3,118.9473684,1423,133.036,1.88668,9.704,8.34E-07,223.853,740.88,1.2
Cu0.903Ti0.097,Er2O3,91.57894737,1423,134.716,1.86508,9.224,2.19E-06,221.993,740.88,1.2
